year,month,precip_mm
1996,10,17.16
1996,11,12.05
1996,12,33.04
1997,1,58.82
1997,2,70.84
1997,3,54.09
1997,4,8.58
1997,5,4.02
1997,6,0.12
1997,7,0.04
1997,8,0.0
1997,9,0.64
1997,10,18.72
1997,11,30.37
1997,12,62.78
1998,1,62.33
1998,2,43.89
1998,3,57.81
1998,4,6.08
1998,5,5.66
1998,6,0.0
1998,7,0.04
1998,8,0.0
1998,9,0.22
1998,10,1.31
1998,11,5.54
1998,12,30.99
1999,1,43.94
1999,2,40.47
1999,3,21.0
1999,4,8.21
1999,5,0.0
1999,6,0.01
1999,7,0.04
1999,8,0.0
1999,9,0.13
1999,10,4.29
1999,11,7.8
1999,12,13.21
2000,1,120.25
2000,2,24.03
2000,3,29.32
2000,4,3.14
2000,5,0.14
2000,6,0.0
2000,7,0.04
2000,8,0.02
2000,9,0.43
2000,10,32.53
2000,11,19.15
2000,12,81.3
2001,1,50.77
2001,2,51.67
2001,3,12.02
2001,4,10.11
2001,5,6.35
2001,6,0.0
2001,7,0.04
2001,8,0.02
2001,9,0.03
2001,10,10.0
2001,11,34.9
2001,12,72.09
2002,1,117.51
2002,2,41.83
2002,3,29.46
2002,4,22.31
2002,5,2.19
2002,6,0.0
2002,7,0.04
2002,8,0.02
2002,9,0.18
2002,10,10.38
2002,11,20.49
2002,12,84.17
2003,1,53.68
2003,2,119.51
2003,3,71.84
2003,4,8.31
2003,5,0.17
2003,6,0.06
2003,7,0.04
2003,8,0.02
2003,9,0.07
2003,10,0.96
2003,11,20.3
2003,12,70.96
2004,1,88.1
2004,2,43.77
2004,3,11.34
2004,4,2.9
2004,5,1.8
2004,6,0.03
2004,7,0.05
2004,8,0.02
2004,9,0.05
2004,10,1.39
2004,11,46.01
2004,12,39.63
2005,1,69.17
2005,2,50.83
2005,3,23.37
2005,4,9.56
2005,5,1.13
2005,6,0.15
2005,7,0.04
2005,8,0.02
2005,9,0.29
2005,10,5.28
2005,11,23.54
2005,12,45.85
2006,1,58.3
2006,2,36.54
2006,3,8.88
2006,4,52.23
2006,5,0.08
2006,6,0.01
2006,7,0.05
2006,8,0.02
2006,9,0.07
2006,10,25.16
2006,11,11.48
2006,12,42.25
2007,1,49.62
2007,2,52.73
2007,3,28.15
2007,4,9.65
2007,5,4.3
2007,6,0.01
2007,7,0.04
2007,8,0.0
2007,9,0.01
2007,10,2.54
2007,11,39.3
2007,12,32.26
2008,1,82.61
2008,2,45.65
2008,3,3.43
2008,4,0.88
2008,5,1.74
2008,6,0.0
2008,7,0.04
2008,8,0.01
2008,9,1.02
2008,10,17.89
2008,11,7.84
2008,12,38.18
2009,1,16.39
2009,2,66.94
2009,3,22.73
2009,4,2.35
2009,5,0.26
