year,product,geography_id,rain_mm,rain_mm_months,former_mm,former_mm_months,latter_mm,latter_mm_months,pet_mm,pet_mm_months,balance_mm,balance_mm_months,wet_days,wet_days_months,spring_tmx_c,spring_tmx_c_months,annual_tmp_c,annual_tmp_c_months,rain_mm_baseline_n,rain_mm_anomaly,rain_mm_z,rain_percent_baseline,former_mm_baseline_n,former_mm_anomaly,former_mm_z,latter_mm_baseline_n,latter_mm_anomaly,latter_mm_z,pet_mm_baseline_n,pet_mm_anomaly,pet_mm_z,balance_mm_baseline_n,balance_mm_anomaly,balance_mm_z,wet_days_baseline_n,wet_days_anomaly,wet_days_z,spring_tmx_c_baseline_n,spring_tmx_c_anomaly,spring_tmx_c_z,annual_tmp_c_baseline_n,annual_tmp_c_anomaly,annual_tmp_c_z
1926,CRU-CY4.08,CRU-CY:Israel,480.59999999999997,12,75.6,2,103.5,2,1588.0,12,-1107.4,12,54.9,12,24.892391304347825,3,18.849589041095893,12,30,73.67999999999995,0.7510210144018412,118.1067531701563,30,12.036666666666669,0.2911065763898256,30,43.55,1.4728887785390656,30,86.20333333333338,3.068578663258816,30,-12.52333333333354,-0.10727981441711308,30,7.280000000000001,1.055815249880269,30,0.5128623188405754,0.5564853156933105,30,-0.8848191481398331,-1.4693810366193254
1927,CRU-CY4.08,CRU-CY:Israel,455.0,12,20.4,2,62.0,2,1597.6999999999998,12,-1142.6999999999998,12,46.2,12,25.918478260869566,3,19.27123287671233,12,30,48.079999999999984,0.49007994533714083,111.81559028801729,30,-43.16333333333333,-1.0439044745698838,30,2.049999999999997,0.0693323076005759,30,95.9033333333332,3.4138694064660773,30,-47.82333333333327,-0.4096735420394714,30,-1.4199999999999946,-0.20594198555356816,30,1.5389492753623166,1.6698490840037816,30,-0.46317531252339705,-0.7691752854613325
1928,CRU-CY4.08,CRU-CY:Israel,363.9,12,53.1,2,13.5,2,1649.3000000000002,12,-1285.4,12,44.599999999999994,12,26.24673913043478,3,19.363661202185792,12,30,-43.02000000000004,-0.43850331215482163,89.42789737540548,30,-10.463333333333324,-0.25305553677309933,30,-46.45,-1.5709686283154904,30,147.50333333333356,5.250673772393411,30,-190.52333333333354,-1.632098044354229,30,-3.020000000000003,-0.43798929321956254,30,1.8672101449275296,2.0260311370014055,30,-0.3707469870499338,-0.6156835476494802
1929,CRU-CY4.08,CRU-CY:Israel,448.5,12,55.0,2,67.7,2,1570.1000000000001,12,-1121.6000000000001,12,49.8,12,24.832608695652173,3,18.68383561643836,12,30,41.579999999999984,0.42382537701993167,110.2182247124742,30,-8.563333333333325,-0.20710406943934123,30,7.75,0.26210994336803123,30,68.30333333333351,2.4313926525979865,30,-26.723333333333585,-0.2289226170300744,30,2.1799999999999997,0.31616445669491566,30,0.4530797101449231,0.49161772325996733,30,-1.0505725727973676,-1.7446406074124305
1930,CRU-CY4.08,CRU-CY:Israel,441.3,12,89.0,2,53.599999999999994,2,1633.7,12,-1192.4,12,51.5,12,25.9304347826087,3,19.305753424657535,12,30,34.379999999999995,0.35043570134548474,108.4488351518726,30,25.436666666666675,0.6151853460068567,30,-6.3500000000000085,-0.2147610503725162,30,131.90333333333342,4.695360824554914,30,-97.52333333333354,-0.8354233511848369,30,3.8800000000000026,0.5627147210900337,30,1.55090579710145,1.6828226024904533,30,-0.42865476457819085,-0.711848498816817
1931,CRU-CY4.08,CRU-CY:Israel,430.09999999999997,12,46.8,2,60.7,2,1615.4,12,-1185.3000000000002,12,50.699999999999996,12,25.333695652173912,3,19.03013698630137,12,30,23.17999999999995,0.23627398362967772,105.69645139093679,30,-16.76333333333333,-0.4054209284587184,30,0.75,0.025365478390454634,30,113.60333333333347,4.043936020359761,30,-90.42333333333363,-0.7746019498783573,30,3.0799999999999983,0.4466910672570366,30,0.9541666666666622,1.0353260889285332,30,-0.7042712029343576,-1.1695528429785784
1932,CRU-CY4.08,CRU-CY:Israel,368.29999999999995,12,41.7,2,28.9,2,1590.9,12,-1222.6000000000001,12,47.3,12,24.797826086956523,3,18.936612021857922,12,30,-38.62000000000006,-0.39365406590932644,90.50919099577311,30,-21.863333333333323,-0.5287643407756479,30,-31.050000000000004,-1.050130805364822,30,89.10333333333347,3.1718099163826414,30,-127.72333333333358,-1.0941284666011346,30,-0.3200000000000003,-0.04640946153319867,30,0.4182971014492729,0.45387657857147906,30,-0.797796167377804,-1.3248657218788653
1933,CRU-CY4.08,CRU-CY:Israel,247.79999999999998,12,49.2,2,63.1,2,1493.6000000000001,12,-1245.8,12,38.900000000000006,12,22.044565217391302,3,18.198082191780824,12,30,-159.12000000000003,-1.6219118324052806,60.8964907107048,30,-14.363333333333323,-0.34737696972133963,30,3.1499999999999986,0.10653500923990943,30,-8.196666666666488,-0.29177661084077416,30,-150.9233333333334,-1.2928688201659706,30,-8.719999999999992,-1.2646578267796615,30,-2.334963768115948,-2.5335709056768483,30,-1.5363259974549024,-2.5513103909102406
1934,CRU-CY4.08,CRU-CY:Israel,369.30000000000007,12,21.5,2,29.9,2,1570.1,12,-1200.8,12,44.400000000000006,12,25.960869565217394,3,18.94931506849315,12,30,-37.61999999999995,-0.38346105539898545,90.7549395458567,30,-42.063333333333325,-1.0173009934819186,30,-30.050000000000004,-1.0163101675108825,30,68.30333333333328,2.4313926525979785,30,-105.9233333333334,-0.9073810654065874,30,-3.2199999999999918,-0.46699520667781,30,1.5813405797101439,1.7158461040928805,30,-0.7850931207425766,-1.3037703196462904
1935,CRU-CY4.08,CRU-CY:Israel,497.70000000000005,12,14.0,2,43.099999999999994,2,1603.6,12,-1105.9,12,47.800000000000004,12,26.075,3,19.30821917808219,12,30,90.78000000000003,0.9253214941286538,122.3090533765851,30,-49.563333333333325,-1.198688364536227,30,-16.85000000000001,-0.5698777478388811,30,101.80333333333328,3.623891611097305,30,-11.02333333333354,-0.09443022259180031,30,0.18000000000000682,0.02610532211242522,30,1.6954710144927496,1.8396842351019866,30,-0.4261890111535358,-0.707753728342213
